,placekey,location_name,top_category,naics_code,poi_cbg
0,222-222@628-p77-c3q,Calhoun's Automotive Services,Automotive Repair and Maintenance,8111,421010353011.0
1,222-222@628-p7z-7dv,Sitzler Chiropractic,Offices of Other Health Practitioners,621310,421010307003.0
2,222-222@628-p9p-649,Nate's Hot Bagels,Restaurants and Other Eating Places,722515,421010355003.0
3,222-222@628-pj9-73q,Johnson Childcare Center Inc,Child Day Care Services,624410,421010278004.0
4,222-222@628-pmf-8vz,KQ Burger,Restaurants and Other Eating Places,722513,421010369003.0
5,222-222@63s-dvr-y9z,Covanta,Waste Management and Remediation Services,562,421010070003.0
6,222-223@628-pmf-hkf,Du Jour Commerce Square,Restaurants and Other Eating Places,722513,421010004011.0
7,222-226@628-pmf-ht9,Sonesta Hotels & Resorts,Traveler Accommodation,721110,421010004022.0
8,223-222@628-pgf-2zf,Axis Pizza,Restaurants and Other Eating Places,722513,421010369001.0
9,223-222@628-pj6-rff,Lao Buddhist Temple Inc,Religious Organizations,813110,421010273001.0
10,223-223@628-p92-n3q,Bethel Temple Bethel The Church Franklin Mills,Religious Organizations,813110,421010363011.0
11,223-223@628-pp2-r49,Venango Truck Rentals,Gasoline Stations,447110,421010382001.0
12,224-222@628-p7b-qpv,Alfreds Beverage,"Beer, Wine, and Liquor Stores",445310,421010346001.0
13,224-222@628-pfy-fvf,American Legion,Drinking Places (Alcoholic Beverages),722410,421010215001.0
14,224-222@628-pm9-t35,Annenberg Research Inst,"Colleges, Universities, and Professional Schools",611310,421010010023.0
15,224-223@628-pm7-rx5,Bosch Service,Automotive Repair and Maintenance,811118,421010036001.0
16,224-223@628-pmf-s89,Blume,Restaurants and Other Eating Places,722511,421010008043.0
17,225-222@628-pg8-j9z,Pearlstein Furniture,Furniture Stores,442110,421010138002.0
18,225-222@628-phy-kmk,Lemoncello Restaurant Philly,Restaurants and Other Eating Places,722511,421010286003.0
19,226-222@628-phq-5mk,Finley Recreation Center,"Museums, Historical Sites, and Similar Institutions",712190,421010262004.0
20,226-222@628-pp5-djv,Rico Mexican Tacos,Restaurants and Other Eating Places,722511,421010178002.0
21,227-222@628-pm4-n3q,RIM Cafe,Restaurants and Other Eating Places,722515,421010023002.0
22,228-222@628-p8h-n5z,PNC Financial Services,Depository Credit Intermediation,522110,421010325001.0
23,228-222@628-pfv-6hq,Carpenter Lane Garage,Automotive Repair and Maintenance,8111,421010236003.0
24,228-223@628-pm7-sdv,South Philly Wellness,Offices of Other Health Practitioners,621399,421010037022.0
25,22c-222@628-pg4-j7q,,,0,421010241001.0
26,22d-222@628-phk-yjv,St Vladimir Ukranian Orthodox Church,Religious Organizations,813110,421010269001.0
27,22d-222@628-pj4-xqz,Golden Eagle Jewelry,"Jewelry, Luggage, and Leather Goods Stores",448310,421010203001.0
28,22d-222@628-pm9-zs5,Goodwill Industries,Used Merchandise Stores,453310,421010016001.0
29,22d-222@63s-dvx-hnq,Philadelphia Church Of Jesus Christ,Religious Organizations,813110,421010111005.0
30,22g-222@628-pjf-kpv,Starbucks,Restaurants and Other Eating Places,722515,421010387001.0
31,22j-222@628-ph5-yd9,Bistro 870 Restaurant & Lounge,Restaurants and Other Eating Places,722511,421010101004.0
32,22k-222@628-pmb-66k,Rodeway Inn,Traveler Accommodation,721110,421010009011.0
33,22m-222@628-pj3-jqf,Agape Christian Chapel,Religious Organizations,813110,421010244003.0
34,22p-222@628-p8h-wzf,ADBO Management,Activities Related to Real Estate,531311,421010330005.0
35,22r-222@628-p8d-hnq,The New Covenant Church Of God Cdc,Religious Organizations,813110,421010294002.0
36,22v-222@628-pm6-sbk,Care A Lot Learning Center,Child Day Care Services,624410,421010036002.0
37,22y-222@628-pft-ygk,Roxborough Seafood House,Restaurants and Other Eating Places,722511,421010211002.0
38,22y-222@628-pj5-kpv,,,0,421010195013.0
39,22z-222@628-pm9-whq,PrimoHoagies,Restaurants and Other Eating Places,722511,421010001001.0
40,232-222@628-pgb-s5z,Vice Coffee Tattoos & Books,Restaurants and Other Eating Places,722515,421010376002.0
41,232-222@63s-dvy-9cq,Lee's Deli,Restaurants and Other Eating Places,722513,421010078004.0
42,233-222@628-p82-hbk,Philly PC Fix,Electronic and Precision Equipment Repair and Maintenance,811211,421010310005.0
43,235-222@628-phy-kcq,La Parrillada,Restaurants and Other Eating Places,722511,421010285001.0
44,236-222@628-pg9-x5z,Vineyards Cafe,Restaurants and Other Eating Places,722511,421010133002.0
45,23c-222@628-pm9-26k,The Church of Jesus Christ of Latter day Saints,Religious Organizations,813110,421010039022.0
46,23f-222@628-p8n-3qz,Grace City Church Of Wissinoming,Religious Organizations,813110,421010319002.0
47,23h-222@628-phz-c5z,Dunkin',Restaurants and Other Eating Places,722515,421010274013.0
48,23j-222@628-pm9-5zz,Caffe Chicco,Restaurants and Other Eating Places,722513,421010039021.0
49,23m-223@63s-dvq-cnq,Wayland Memorial Baptist Church,Religious Organizations,813110,421010073004.0
50,23n-222@628-pj3-gff,Philly Jerk Center,Restaurants and Other Eating Places,722511,421010244003.0
51,23p-224@628-pm5-3bk,Six Fishes Acupuncture and Chinese Herbs,Offices of Other Health Practitioners,621399,421010014003.0
52,23z-222@628-pj6-p9z,Number One Express,Restaurants and Other Eating Places,722511,421010274022.0
53,23z-223@628-pp5-h5z,Dooey's Road,Drinking Places (Alcoholic Beverages),722410,421010180012.0
54,243-222@628-pgj-789,Williams Bruce DO,Offices of Other Health Practitioners,621320,421010152002.0
55,246-222@628-phq-d7q,Wrights Barber Shop,Personal Care Services,81211,421010266005.0
56,246-222@628-pj5-t9z,Las Rancheritas,Restaurants and Other Eating Places,722511,421010198006.0
57,248-222@628-ph6-8sq,Orlando's Bakery,Restaurants and Other Eating Places,722515,421010115003.0
58,248-222@628-pp5-4d9,Fishtown Market,Grocery Stores,445110,421010158001.0
59,24c-222@628-pgb-mhq,Heart Woodworks,Furniture Stores,442110,421010140001.0
60,24c-222@628-pm3-wp9,New Leaf,Florists,453110,421010023002.0
61,24d-222@628-pmf-rff,Mr Fix Cell Phone & Computer Repair,Electronic and Precision Equipment Repair and Maintenance,811211,421010012023.0
62,24d-222@63s-dvq-g49,Allen A M E Church,Religious Organizations,813110,421010083024.0
63,24d-222@63s-dvq-kpv,Bible Union Fellowship Church,Religious Organizations,813110,421010083023.0
64,24k-222@628-pm4-mc5,Milano Pizza & Grill,Restaurants and Other Eating Places,722511,421010024003.0
65,24m-222@628-pm3-zxq,No 1 Express Restaurant,Restaurants and Other Eating Places,722511,421010041012.0
66,24n-222@63s-dwg-4n5,Dicks Variety Store,Grocery Stores,445110,421010061001.0
67,zzw-222@628-p83-9cq,Pennepack Baptist Church,Religious Organizations,813110,421010344001.0
68,zzw-222@628-p8h-wff,Liberty Door Systems,Other Specialty Trade Contractors,2389,421010381002.0
69,zzw-222@628-pgb-rrk,St Paul's Community Center,Amusement Parks and Arcades,713110,421010132002.0
70,zzw-222@628-pgj-4n5,Old Nelson Food Company,Grocery Stores,445110,421010146001.0
71,zzw-222@628-phq-6kz,Awbury Park and Recreation Center,"Museums, Historical Sites, and Similar Institutions",712190,421010389001.0
72,zzw-222@628-pm4-jy9,The Famous Napoli Pizza,Restaurants and Other Eating Places,722511,421010024001.0
73,zzw-222@63s-dvy-ckf,Free Library of Philadelphia Kingsessing Branch,Other Information Services,519120,421010074004.0
74,zzw-223@628-p74-cqz,Holmesburg United Methodist Church,Religious Organizations,813110,421010331021.0
75,zzw-223@628-pgb-st9,Osteria,Drinking Places (Alcoholic Beverages),722410,421010133001.0
76,zzw-223@628-pj7-k75,Got The Look,Clothing Stores,4481,421010292002.0
77,zzw-224@628-p7z-qs5,Metro by T Mobile Authorized Dealer,Electronics and Appliance Stores,443142,421010309003.0
78,zzw-224@628-pgb-gp9,Jefferson Health Art Museum,Offices of Physicians,621111,421010125002.0
79,zzw-225@628-pj2-sh5,Dollar Tree,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421010383001.0
80,zzw-226@628-p9r-2ff,Body Crafters,Other Amusement and Recreation Industries,713940,421010346001.0
81,zzw-227@628-pmf-yqf,JG Domestic,Restaurants and Other Eating Places,722511,421019800001.0
82,zzw-22f@628-pmb-7h5,CB2,Furniture Stores,442110,421010008042.0
83,zzy-222@628-pgj-wtv,Forman Mills,Clothing Stores,448140,421010166001.0
84,zzy-222@628-php-pd9,West Oak Lane Shopping Center,Lessors of Real Estate,531120,421010264003.0
85,zzy-222@628-pj7-w8v,Wawa,Grocery Stores,445120,421010292002.0
86,zzy-222@63s-dvr-g49,Marogifts,Florists,453110,421010062003.0
87,zzy-223@63s-dw2-bp9,Emmanuel Christian Center,Religious Organizations,813110,421010083022.0
88,zzz-222@628-pmb-ks5,Betsy Ross House,"Museums, Historical Sites, and Similar Institutions",712190,421010001002.0
89,zzz-222@63s-dvq-x5z,Deritis Playground,Other Amusement and Recreation Industries,713990,421010069003.0
90,222-222@628-pmb-gkz,The Crystal Cage,Clothing Stores,4481,421010011013.0
91,222-222@628-pp2-66k,Davis Steven M DMD,Offices of Dentists,621210,421010378002.0
92,222-223@628-pfw-6tv,Dunkin',Restaurants and Other Eating Places,722515,421010206001.0
93,222-224@628-pmf-ht9,Ruth's Chris Steak House,Restaurants and Other Eating Places,722511,421010004022.0
94,222-227@628-p7v-cbk,Time For Tots,Child Day Care Services,624410,421010338005.0
95,223-222@628-p8m-dn5,Planet Wholesale,Other Miscellaneous Store Retailers,453991,421010321001.0
96,223-222@628-pjg-p35,,,0,421010387002.0
97,224-222@628-pj2-3nq,Philly Auto II,Automotive Repair and Maintenance,8111,421010383001.0
98,224-222@628-pj8-tgk,Bambu,Restaurants and Other Eating Places,722515,421010291001.0
99,224-222@628-pm9-y7q,Cry Baby Pasta,Restaurants and Other Eating Places,722511,421010016002.0
100,224-222@63s-dvw-n89,Cricket Wireless,Wired and Wireless Telecommunications Carriers,517312,421010093004.0
101,225-222@628-p8f-6hq,Food Jawn We The People,Restaurants and Other Eating Places,722511,421010184002.0
102,225-222@63s-dvq-t9z,Straight Gate Church of the Living Word,Religious Organizations,813110,421010067007.0
103,225-225@628-p9q-zpv,Todd M Schultz DMD,Offices of Dentists,621210,421010345022.0
104,226-222@628-pj9-v2k,Community College of Philadelphia,"Colleges, Universities, and Professional Schools",611310,421010276004.0
105,226-225@628-p7v-f2k,Castor Place,Lessors of Real Estate,531120,421010335002.0
106,227-222@628-pmc-qzz,Ebenezer Seventh Day Adventist Church,Religious Organizations,813110,421010366001.0
107,227-222@628-pmf-m8v,Four Seasons Hotels and Resorts,Traveler Accommodation,721110,421010004022.0
108,228-222@628-pgb-4qf,Perry Milton Photographer,"Other Professional, Scientific, and Technical Services",54192,421010376002.0
109,228-222@628-pgb-t5f,Santucci's Original Square Pizza,Restaurants and Other Eating Places,722511,421010132002.0
110,229-222@628-p7z-yn5,First Class Thrift Store,Used Merchandise Stores,453310,421010311013.0
111,229-222@628-pmb-gtv,Lee's Hoagie House,Restaurants and Other Eating Places,722511,421010009022.0
112,22b-222@628-p82-47q,James M Campbell Funeral Home Inc,Death Care Services,812210,421010305011.0
113,22b-222@628-pmb-ks5,ICI Macarons & Cafe,Restaurants and Other Eating Places,722515,421010001001.0
114,22c-222@628-pgf-d5f,My Pharmacy,Health and Personal Care Stores,446110,421010092001.0
115,22d-222@628-pgb-2hq,Days Inn,Traveler Accommodation,721110,421010002001.0
116,22d-222@628-pgh-975,Mt Olive Church,Religious Organizations,813110,421010173002.0
117,22d-222@628-pm4-yjv,AutoZone,"Automotive Parts, Accessories, and Tire Stores",441310,421010022003.0
118,22g-222@628-pm4-h5z,Deja 42 Art Gallery,Other Miscellaneous Store Retailers,453920,421010029001.0
119,22h-222@628-pgb-g8v,Darling's Coffeehouse & Famous Cheesecakes,Restaurants and Other Eating Places,722515,421010003002.0
120,22j-222@628-pj9-6p9,Sunoco,Gasoline Stations,447110,421010278002.0
121,22k-222@628-pm9-tjv,Psychic Reading Expert,Offices of Other Health Practitioners,621330,421010006001.0
122,22k-222@628-pmb-7h5,Centerpoint Pilates,Other Amusement and Recreation Industries,713940,421010008042.0
123,22n-222@628-p8d-kzz,Paisas Pizza,Restaurants and Other Eating Places,722511,421010294002.0
124,22p-222@628-pg2-2zf,Vira Vookah Lounge,Drinking Places (Alcoholic Beverages),722410,421010210004.0
125,22p-222@628-pm6-h5z,Katie M Dougherty DO,Offices of Physicians,621111,421010042023.0
126,22r-222@628-p8h-4y9,Lorenzo's Cafe Espresso Ristorante Italiano,Restaurants and Other Eating Places,722515,421010326006.0
127,22r-222@628-pm9-yd9,Essene Market & Cafe,Health and Personal Care Stores,446191,421010016001.0
128,22y-222@628-p9w-4n5,Boggo Tours,Travel Arrangement and Reservation Services,5615,421010357012.0
129,232-222@628-pgj-c5z,Doctors Choice Hospice,Home Health Care Services,621610,421010147002.0
130,233-222@628-pfz-bx5,Cactus Restaurant & Bar,Restaurants and Other Eating Places,722511,421010210004.0
131,233-222@628-pj9-zmk,Jane's Grill,Restaurants and Other Eating Places,722511,421010275003.0
132,233-222@63s-dvx-hqz,Macedonia Pentecostal Holiness Church,Religious Organizations,813110,421010111004.0
133,234-222@63s-dvx-h5z,Greater Works Christian Ministries Inc,Religious Organizations,813110,421010102003.0
134,235-222@628-pp5-qfz,Santiago Grocery,Grocery Stores,445110,421010176013.0
135,237-222@628-p85-2ff,Bob's Tutoring Services,Other Schools and Instruction,611691,421010337012.0
136,237-223@628-p86-yn5,Bridge,"Museums, Historical Sites, and Similar Institutions",712120,421010342001.0
137,239-222@628-phq-gtv,Peter's Chicken & Seafood,Restaurants and Other Eating Places,722511,421010266002.0
138,23b-222@628-pj3-tgk,Einstein Physicians Broad Street,Offices of Physicians,621111,421010283007.0
139,23h-222@628-p8d-8y9,Bulk Vintage Wholesale,Used Merchandise Stores,453310,421010294003.0
140,23j-222@628-pg9-t9z,A&A Food Market,Grocery Stores,445110,421010134022.0
141,23p-222@628-p7z-sqz,Amd Senior Purecare,Nursing and Residential Care Facilities,623,421010311014.0
142,23r-222@628-pm3-tvz,Varallo Brothers Bakery,Bakeries and Tortilla Manufacturing,311811,421010028023.0
143,23x-222@628-pm9-zs5,Tattooed Mom,Drinking Places (Alcoholic Beverages),722410,421010016001.0
144,23x-222@628-pmd-w49,Rittenhouse Square Fitness Club,Other Amusement and Recreation Industries,713940,421010008032.0
145,23x-222@628-pp5-k4v,Ho Le Chan,Restaurants and Other Eating Places,722511,421010179002.0
146,24c-222@628-phy-snq,,,0,421010284004.0
147,24f-222@63s-dvw-z2k,Mrs Mary's Soulfood,Specialty Food Stores,445299,421010085007.0
148,24h-222@63s-dvw-brk,Refuge Church of Christ,Religious Organizations,813110,421010093005.0
149,zzw-222@628-p7x-w6k,Moviestop,Consumer Goods Rental,532282,421010335002.0
150,zzw-222@628-p82-4jv,Embroidery King,"Sporting Goods, Hobby, and Musical Instrument Stores",451130,421010305021.0
151,zzw-222@628-p8h-66k,Hellings Gary D Plmbr,Building Equipment Contractors,2382,421010326007.0
152,zzw-222@628-pft-g6k,Monastery Stable,Other Amusement and Recreation Industries,713990,421019801001.0
153,zzw-222@628-pfv-7bk,Bible Club House,Religious Organizations,813110,421010236002.0
154,zzw-222@628-pgb-5pv,Retro Fitness,Other Amusement and Recreation Industries,713940,421010125001.0
155,zzw-222@628-pgc-j7q,,,0,421010090002.0
156,zzw-222@628-pgj-qxq,Mckinley William Sch,Elementary and Secondary Schools,611110,421010162002.0
157,zzw-222@628-pgm-ht9,East River Bank,Depository Credit Intermediation,522110,421010207004.0
158,zzw-222@628-php-w6k,Adelaide Educational Academy Center,Elementary and Secondary Schools,611110,421010279013.0
159,zzw-222@628-phq-gtv,Bruno's Pizza,Restaurants and Other Eating Places,722511,421010266002.0
160,zzw-222@628-phy-6c5,Miriam's Beauty Salon,Personal Care Services,81211,421010288001.0
161,zzw-222@628-pmf-syv,,,0,421010012024.0
162,zzw-222@628-pnz-wtv,7-Eleven,Grocery Stores,445120,421010382002.0
163,zzw-222@63s-dvy-k4v,Univ of Penn,"Colleges, Universities, and Professional Schools",611310,421010088024.0
164,zzw-222@63s-dwf-j9z,Auto Parts Outlet South Philadelphia,Automotive Repair and Maintenance,811121,421019809001.0
165,222-222@628-p76-6c5,Philadelphia House Of Correction,"Justice, Public Order, and Safety Activities",922140,421019891001.0
166,222-222@628-p84-28v,Northeast Racquet Club & Fitness Center,Other Amusement and Recreation Industries,713940,421010344001.0
167,222-222@628-p9q-s89,Jomar,Department Stores,452210,421010346001.0
168,222-222@628-pgc-xnq,Child's Play Interactive Learning Center,Child Day Care Services,624410,421010111005.0
169,222-223@628-pgk-fcq,Cues For Growth,Offices of Physicians,621111,421019800001.0
170,222-228@628-pmf-mx5,Wells Fargo,Depository Credit Intermediation,522110,421010004022.0
171,223-222@628-p9k-ndv,Taco Bell,Restaurants and Other Eating Places,722513,421010355001.0
172,223-222@628-pzn-zmk,County Line Plaza,Lessors of Real Estate,531120,421010365011.0
173,224-222@628-ph5-x5z,Mama's Boy,Restaurants and Other Eating Places,722511,421010112004.0
174,224-222@628-pnw-k4v,Paradise Pizza,Restaurants and Other Eating Places,722511,421010142002.0
175,224-222@63s-dwb-nwk,Pacifico Hyundai,Automobile Dealers,441110,421019809001.0
176,225-222@628-p8m-wrk,Espn Auto Repair,Automotive Repair and Maintenance,811111,421010317004.0
177,225-222@628-p9q-zfz,Red Lobster,Restaurants and Other Eating Places,722511,421010345022.0
178,225-222@628-pfy-mx5,Petals Lane,Florists,453110,421010216002.0
179,225-222@628-pmf-8vz,University Pennsylvania Museum Of Archaeology And Anthropology,"Museums, Historical Sites, and Similar Institutions",712110,421010369003.0
180,225-223@628-pgf-xnq,Sunoco,Gasoline Stations,447110,421010110001.0
181,226-222@628-pfx-kxq,Funny Monk Emporium,Other Miscellaneous Store Retailers,453991,421010214003.0
182,226-222@628-pfy-6p9,Jiffy Lube,Automotive Repair and Maintenance,811191,421010215001.0
183,226-222@628-pg4-j9z,Chefing & finsseing,Restaurants and Other Eating Places,722511,421010241001.0
184,226-222@628-ph6-649,Japanese Christian Church of Phila,Religious Organizations,813110,421010375001.0
185,227-222@628-p85-6p9,Half price Appliances,Electronics and Appliance Stores,443141,421010337012.0
186,228-222@628-p82-jjv,Tokyo Mandarin,Restaurants and Other Eating Places,722511,421010310003.0
187,228-222@628-p85-6kz,Knizhnik,Book Stores and News Dealers,451211,421010337012.0
188,228-222@628-pgb-4y9,U-Haul,Automotive Equipment Rental and Leasing,532120,421010376002.0
189,22b-223@628-pmf-kj9,Ateethi Rittenhouse,Restaurants and Other Eating Places,722511,421010007001.0
190,22b-229@628-pmf-mtv,Prudentia Care Home Health Services,Home Health Care Services,621610,421010004022.0
191,22d-222@628-pm3-v4v,Food Point Deli,Grocery Stores,445120,421010029001.0
192,22g-223@628-p8m-qj9,Rama's Touch African Braiding Salon,Personal Care Services,81211,421010300007.0
193,22h-222@628-p8m-nyv,Church Of Primitive International Ministries Inc,Religious Organizations,813110,421010300003.0
194,22j-222@628-p8f-26k,Repair Major Auto,Automotive Repair and Maintenance,8111,421010299001.0
195,22k-222@628-pm4-gtv,Boost Mobile,Wired and Wireless Telecommunications Carriers,517312,421010040014.0
196,22k-223@628-pnx-pgk,The Resource Exchange,"Sporting Goods, Hobby, and Musical Instrument Stores",451130,421010157003.0
197,22m-222@628-pjf-kvf,Mica Restaurant,Restaurants and Other Eating Places,722511,421010387002.0
198,22n-223@628-pjf-kpv,A Taste Of Olive,Specialty Food Stores,445299,421010387001.0
199,22p-222@628-p9n-jgk,Hifi Philly,Investigation and Security Services,5616,421010362013.0
200,22q-222@628-p8f-8qf,Ethos Pathos Logos,Printing and Related Support Activities,3231,421010300006.0
201,22q-222@628-pnx-fcq,Fishtown Athletic Club,Other Amusement and Recreation Industries,713940,421010158003.0
202,22q-223@628-pg2-cdv,Pop Pop's,Restaurants and Other Eating Places,722513,421010388003.0
203,22s-222@628-p82-g8v,Wawa,Grocery Stores,445120,421010314015.0
204,22t-222@628-pgf-d9z,Campus Pharmacy,Health and Personal Care Stores,446110,421010092001.0
205,22t-222@628-pmb-94v,Burlington,Clothing Stores,448140,421010005001.0
206,22t-222@628-pmb-yqf,St Honore Pastries,Restaurants and Other Eating Places,722515,421010002001.0
207,22x-222@63s-dwg-f9f,Original Pete's Pizza and Wings,Restaurants and Other Eating Places,722511,421010060004.0
208,22y-222@628-pgj-8qf,Delgado Grocery,Grocery Stores,445110,421010167013.0
209,238-222@628-p8m-vmk,Edward J Petner Funeral Home,Death Care Services,812210,421010320003.0
210,23b-222@628-p8f-8d9,Meekstreats,Bakeries and Tortilla Manufacturing,311811,421010300006.0
211,23c-222@63s-dvy-cyv,Bluedog Cafe,Restaurants and Other Eating Places,722513,421010074005.0
212,23d-222@628-pmd-sbk,L 2 Restaurant,Restaurants and Other Eating Places,722511,421010012014.0
213,23f-222@628-pg9-k2k,Security by Reese,Investigation and Security Services,5616,421010169023.0
214,23g-222@628-pm4-99f,American Sardine Bar,Drinking Places (Alcoholic Beverages),722410,421010021002.0
215,23t-222@628-pm6-t9z,Didonato's Auto Repair,Automotive Repair and Maintenance,8111,421010036001.0
216,23v-222@628-pj8-9vf,Wasko Gregory P DDS,Offices of Dentists,621210,421010292003.0
217,23x-222@628-pnz-nt9,Lest We Forget Black Holocaust Museum,"Museums, Historical Sites, and Similar Institutions",712110,421010379006.0
218,245-222@628-pj9-435,Patriot Home Care,Home Health Care Services,621610,421010278003.0
219,24c-222@628-pgj-789,Jones Tabernacle A M E Church,Religious Organizations,813110,421010152002.0
220,24n-222@628-pm7-vj9,Rajax Automotive,Automotive Repair and Maintenance,8111,421010036001.0
221,24y-223@628-pm4-hqz,True Gospel Tabernacle Day Care South,Child Day Care Services,624410,421010039014.0
222,26n-222@628-pm9-tjv,T N Jewelry,"Jewelry, Luggage, and Leather Goods Stores",448310,421010006001.0
223,zzw-222@628-p6z-yqf,Suzuki,Other Motor Vehicle Dealers,441228,421019891001.0
224,zzw-222@628-p7v-dy9,Firestone Complete Auto Care,"Automotive Parts, Accessories, and Tire Stores",441310,421010335002.0
225,zzw-222@628-p7v-fj9,Ministerio Videira Verdadeira,Religious Organizations,813110,421010310002.0
226,zzw-222@628-p7x-5xq,Visionworks,Offices of Other Health Practitioners,621320,421010314012.0
227,zzw-222@628-p9k-4sq,European Auto Repair,Automotive Repair and Maintenance,8111,421010360001.0
228,zzw-222@628-pgb-mff,Libertee Grounds,Drinking Places (Alcoholic Beverages),722410,421010140001.0
229,zzw-222@628-pgb-nyv,Temple University Sports Complex,Other Amusement and Recreation Industries,713940,421010141002.0
230,zzw-222@628-pgf-ghq,Fresh Donuts,Restaurants and Other Eating Places,722515,421010108004.0
231,zzw-222@628-pgg-rtv,Randolph A Philip Avt Hs,Elementary and Secondary Schools,611110,421010170002.0
232,zzw-222@628-pgy-gzf,Velo Car Wash,Automotive Repair and Maintenance,8111,421010384002.0
233,zzw-222@628-ph6-6rk,Holy Cross Baptist Church,Religious Organizations,813110,421019808001.0
234,zzw-222@628-phy-hh5,Boulevard Auto Repair,Automotive Repair and Maintenance,8111,421010285001.0
235,zzw-222@628-pmf-8qf,Class of 1923 Ice Arena Ice Skating Rink,Other Amusement and Recreation Industries,713940,421010369001.0
236,zzw-223@628-pm7-435,State Liquor Stores,"Beer, Wine, and Liquor Stores",445310,421010038002.0
237,zzw-223@628-pm9-rx5,Independence Hall,"Museums, Historical Sites, and Similar Institutions",712120,421010010011.0
238,zzw-225@628-phn-87q,Boost Mobile,Wired and Wireless Telecommunications Carriers,517312,421010259001.0
239,zzw-229@628-pnx-skf,Four Humours,Drinking Places (Alcoholic Beverages),722410,421010157003.0
240,zzw-22f@628-pj6-k4v,H Mart,Grocery Stores,445110,421010272002.0
241,zzy-222@628-p8m-t5f,Dunkin',Restaurants and Other Eating Places,722515,421010302001.0
242,zzy-222@628-pgh-3wk,Mount Ephraim Baptist Church,Religious Organizations,813110,421010202002.0
243,zzy-222@628-pgj-ghq,The Bagel Hut,Restaurants and Other Eating Places,722513,421010153001.0
244,zzy-223@628-pgg-wzf,Bob's House of Crabs,Restaurants and Other Eating Places,722511,421010172023.0
245,zzy-223@628-pp2-r49,Panda Express,Restaurants and Other Eating Places,722513,421010382001.0
246,zzy-224@628-pgh-vcq,The Creperie,Restaurants and Other Eating Places,722511,421010377001.0
247,zzy-226@628-pmb-8sq,T.J. Maxx,Department Stores,452210,421010005001.0
248,zzz-222@628-pft-pjv,Wissahickon Valley Park,"Museums, Historical Sites, and Similar Institutions",712190,421019801001.0
249,zzz-222@628-pj7-kxq,Simpson Playground,Other Amusement and Recreation Industries,713990,421010301004.0
250,222-222@628-p7v-z9f,Pennsylvania Foot & Ankle Associates,Offices of Physicians,621111,421010338001.0
251,222-222@628-p9k-r8v,Steve's Prince of Steaks,Restaurants and Other Eating Places,722511,421010361002.0
252,222-222@628-p9s-j9z,Room Service 360,Furniture Stores,442110,421010364001.0
253,222-222@628-pgg-h5z,Lancaster Bible College Capitol Seminary & Graduate School,"Colleges, Universities, and Professional Schools",611310,421010173002.0
254,222-222@628-pj2-mp9,Plaza Of Americas,Lessors of Real Estate,531120,421010190005.0
255,222-222@628-pj4-v9f,Bobs Crab House,Restaurants and Other Eating Places,722511,421010195011.0
256,222-222@628-pj5-rp9,Scotty's Vintage Beauty Salon,Personal Care Services,81211,421010198001.0
257,222-222@63s-dvy-y9z,Ever Green,Restaurants and Other Eating Places,722511,421010086011.0
258,222-223@628-pg5-whq,Board Of Pensions And Relief,Religious Organizations,813110,421010217001.0
259,223-222@628-p9q-tn5,Timothy P Reilly Nationwide Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",524210,421010355002.0
260,223-222@628-pgj-gff,The Rad Dish,Restaurants and Other Eating Places,722515,421010146001.0
261,223-222@628-pj6-3qz,V N Fuel,Automotive Repair and Maintenance,8111,421010291001.0
262,223-222@628-pjb-8d9,Just My Size,Child Day Care Services,624410,421010278004.0
263,223-223@628-pg2-jvz,Mount Airy Church Of Philadelphia Inc,Religious Organizations,813110,421010253002.0
264,223-227@628-pm5-p9z,Los Jimenez,Restaurants and Other Eating Places,722511,421010041022.0
265,224-222@628-p82-jgk,Mom Mom Girls,Clothing Stores,4481,421010310003.0
266,224-222@628-phd-8jv,Little Dove Christian Academy,Religious Organizations,813110,421010120001.0
267,224-223@628-pgh-bzf,A & J Seafood,Specialty Food Stores,445220,421010201012.0
268,225-223@628-pmb-y35,Brick and Mortar,Restaurants and Other Eating Places,722511,421010376002.0
269,225-224@628-p82-swk,Acme Markets,Grocery Stores,445110,421010306001.0
270,226-222@628-p8f-cef,St Thos Methodist Church,Religious Organizations,813110,421010299001.0
271,226-222@628-p8m-5j9,Scott Monument,Florists,453110,421010317005.0
272,226-222@628-phd-8gk,West Side Baptist Church,Religious Organizations,813110,421010117001.0
273,226-223@63s-dwf-wx5,Dollar General,"General Merchandise Stores, including Warehouse Clubs and Supercenters",452319,421019809001.0
274,227-222@628-p9t-ghq,Fuse HVAC & Appliance Repair Philadelphia,Personal and Household Goods Repair and Maintenance,811412,421010363022.0
275,227-222@628-pfx-k4v,Marathon Pizza,Restaurants and Other Eating Places,722511,421010214004.0
276,227-222@628-pg4-j9z,B&B Breakfast and Lunch,Restaurants and Other Eating Places,722511,421010246001.0
277,227-222@628-phz-5xq,Leonard P Harman PC,Offices of Physicians,621111,421010289023.0
278,228-222@628-p83-y5f,Pennypack Flowers,Florists,453110,421010344001.0
279,228-222@63s-dvx-jjv,Franchize Sports Bar & Grill,Drinking Places (Alcoholic Beverages),722410,421010111005.0
280,229-222@628-p7b-qfz,Steves Seafood Spot,Restaurants and Other Eating Places,722511,421010348012.0
